,Artefact,Subject,AUC,PSD,AutoCorr,SampEn
0,0,1,0.18141667160728048,0.9998692263862452,0.9972596347150325,0.3635493794633705
1,0,1,0.17830289915219066,0.9998762840577072,0.9974627731042138,0.31358551917680855
2,0,1,0.17951858658919784,0.9998705278320577,0.9974414686680693,0.32001546146893467
3,0,1,0.18309005750874485,0.9998712055960172,0.9974077631260396,0.3153569989553064
4,0,1,0.17711685539811473,0.9998673903946558,0.9972187860368783,0.3201361028872508
5,0,1,0.17817335625778152,0.9998685019635993,0.997310370736138,0.3432377583977609
6,0,1,0.1823940238335211,0.9998682593740889,0.9973376530951719,0.315395498375818
7,0,1,0.18036402442639476,0.9998805943918728,0.9974975973576755,0.32218789626696875
8,0,1,0.1793887472579594,0.9998774713904828,0.9974186078862757,0.3155475882211945
9,0,1,0.18269431434161376,0.9998720271621623,0.9973373968939027,0.3152654694956791
10,0,1,0.18382462797177923,0.9998765126417174,0.9974972179604041,0.32238882581456146
11,0,1,0.18021135945929923,0.9998735432854742,0.9973167642541889,0.3349529018715526
12,0,1,0.1830455919843481,0.9998748967367902,0.997426857818826,0.32230868770557286
13,0,1,0.18386879705934667,0.9998705617496566,0.997410837076157,0.38334568682482334
14,0,1,0.17995286654413944,0.9998710227728483,0.9973829232847433,0.3297705104781785
15,0,1,0.18100462441453724,0.9998770790895988,0.9974772638857711,0.35307748876176026
16,0,1,0.1855258789351989,0.9998733391942277,0.9974624804578182,0.34351408116478466
17,0,1,0.17912254698523744,0.9998685798618228,0.997225842450419,0.3490700730404836
18,0,1,0.1807621390881603,0.9998698431611409,0.9973842437842635,0.34445387321614035
19,0,1,0.18482243433924228,0.999869694732369,0.9973573143441404,0.3567188064735553
20,0,1,0.1801823086500267,0.9998735755142266,0.9974715650231921,0.3023083872041339
21,0,1,0.18165263532341258,0.9998723827240562,0.997329546027106,0.3249504207487558
22,0,1,0.18001304322048972,0.9998739919443042,0.9974562799915458,0.3090150931053829
23,0,1,0.18030177269223935,0.9998770074262344,0.9974881560937979,0.31896503350574773
24,0,1,0.18324924408608523,0.9998677286051247,0.9973452676155636,0.3194546011890743
25,0,1,0.1790445840991285,0.9998747531255368,0.9973574734936125,0.3398678256223512
26,0,1,0.18040730420347428,0.999875067350452,0.9974920031188161,0.3071984719135031
27,0,1,0.18466888006165882,0.9998677339409447,0.9974526017652169,0.3195498885877716
28,0,1,0.17819410683583325,0.9998786010649603,0.9974506499911804,0.3574558889218038
29,0,1,0.179384597142349,0.9998739298022423,0.9973421269513099,0.36669842774673256
30,0,1,0.18354360585759177,0.9998732901210773,0.9973712718629367,0.29619757155454035
