,Artefact,Subject,AUC,PSD,AutoCorr,SampEn
5457,3,7,1116533.0,0.9999151749873811,0.9974204638497658,0.3580555196499608
5458,3,7,1117808.0,0.9999218043298629,0.997705347962179,0.36921561614642334
5459,3,7,1115765.0,0.9999163142874057,0.9974084246635657,0.37149109200795466
5460,3,7,1116284.0,0.9999137174586726,0.9972326378574908,0.35454408873461596
5461,3,7,1118030.5,0.9999183628732145,0.9975470063107476,0.375127496775763
5462,3,7,1115541.5,0.9999212500228853,0.9975486104409933,0.3800297486478635
5463,3,7,1120181.5,0.9999179518712711,0.9974965245543994,0.37603885714759083
5464,3,7,1119699.0,0.9999194690025311,0.997691481391179,0.3660035339852385
5465,3,7,1120012.5,0.9999147024432588,0.9973892071697873,0.3701050953003216
5466,3,7,1121398.5,0.9999156969811483,0.9976325515669412,0.35196756046247585
5467,3,7,1119742.0,0.9999202649809134,0.9976225231950474,0.33856068841725073
5468,3,7,1120677.0,0.9999164083878075,0.9974229685146535,0.3594932661617937
5469,3,7,1120181.5,0.9999176026952714,0.9975838847957856,0.37195841184663603
5470,3,7,1117380.5,0.9999191128055471,0.9976479787973946,0.33828766828472157
5471,3,7,1120168.5,0.9999229571444747,0.9977840080992132,0.37348695981988467
5472,3,7,1119313.0,0.9999208919670239,0.9976474470223268,0.37810507852135955
5473,3,7,1119625.0,0.9999145939463814,0.9975789434417607,0.34945510428842336
5474,3,7,1120614.0,0.9999169283376947,0.9977398896174164,0.4079871775408743
5475,3,7,1118271.5,0.9999135187599665,0.99735237805268,0.365679698720775
5476,3,7,1123503.5,0.9999169341514825,0.9975338952130169,0.3489285019720171
5477,3,7,1119110.5,0.9999203868420115,0.9976909618910144,0.3501788502684959
5478,3,7,1118321.0,0.9999164643588709,0.9975069116610579,0.3660956087168225
5479,3,7,1120315.5,0.9999137062277287,0.9974185215875744,0.38009447981769184
5480,3,7,1129310.5,0.9999219019456821,0.9978313605300425,0.3510338660846861
5481,3,7,1128337.0,0.999914023647761,0.9975928954107817,0.36628171335854504
5482,3,7,1130981.0,0.9999140611137438,0.9975730674123813,0.360146998077834
5483,3,7,1129592.5,0.9999171808485833,0.9975833340601413,0.33552722237567145
5484,3,7,1129285.0,0.9999182795670502,0.9977060972959485,0.384602462714506
5485,0,7,1125273.5,0.9999177897023825,0.9975157212971234,0.33574124243661546
5486,0,7,1078247.5,0.9999249748922755,0.9970097100692443,0.370642227606498
5487,0,7,1065207.0,0.9999244995055295,0.996875254663667,0.36608594723159926
5488,0,7,1058681.5,0.9999278512269382,0.9968916097188761,0.35184996822023573
5489,0,7,1044142.0,0.9999344201549762,0.9967705344877023,0.3762372836021158
5490,0,7,1038947.0,0.9999289467594386,0.9963503512511709,0.3769227443654391
5491,0,7,1031664.0,0.9999339806890956,0.9965838498060076,0.3835554416410312
5492,0,7,1023767.5,0.9999364755150694,0.996380225954957,0.341558662676653
5493,0,7,1023216.0,0.9999363531351834,0.996358657614319,0.3754293863268969
5494,0,7,1017247.5,0.9999375283229301,0.9962998367960191,0.3665618352414856
5495,0,7,1016973.5,0.9999337748286667,0.9961224721257089,0.359900570639098
5496,0,7,1015487.5,0.9999388153307988,0.9964885353023568,0.34910994203734474
5497,0,7,1013076.5,0.999940226432288,0.996493300351309,0.3467291902425779
5498,0,7,1014996.0,0.9999345898812636,0.9960297759784764,0.36475504379751766
5499,0,7,1011401.0,0.9999373843236967,0.996046227534569,0.37678633080289214
5500,0,7,1012067.0,0.9999319228031417,0.9957449518293907,0.3735962522387634
5501,0,7,1013130.5,0.9999398661025496,0.9964733879260196,0.3541960787922577
5502,0,7,1010798.5,0.9999398265385533,0.996481496631811,0.3820385375516332
5503,0,7,1012686.0,0.9999349816044174,0.9962975969735952,0.40625566274056935
5504,0,7,1011267.5,0.9999336779851604,0.9962630774083783,0.36763743815963085
5505,0,7,1011492.5,0.9999403254095138,0.9963945006963333,0.35972652908558256
5506,0,7,1014037.0,0.9999373622887303,0.9962320719701468,0.3838535057083749
5507,0,7,1010857.5,0.9999353707861899,0.9958802265704271,0.40587331303270197
5508,0,7,1011635.0,0.9999371743830745,0.9963871784210044,0.3929347285818294
5509,0,7,1013188.5,0.9999383978723806,0.996362404817988,0.35870367714852375
5510,0,7,1010259.0,0.9999387533359804,0.9961320529487998,0.3632070733659884
5511,0,7,1013008.0,0.9999370499039559,0.9964335587378302,0.40151134185863324
5512,0,7,1012414.0,0.9999364763570836,0.9962583640467977,0.3509071098342562
5513,0,7,1012197.5,0.9999370600857781,0.9963732836507664,0.38548590808808786
5514,0,7,1014770.0,0.9999344331385156,0.9963016730515556,0.3840837042511014
5515,0,7,1012842.0,0.9999406821741069,0.9965060864032811,0.375321513141732
5516,0,7,1013892.5,0.999937926946877,0.9962295088434442,0.3930625221280071
5517,0,7,1016413.5,0.9999361128113237,0.9963862191518934,0.3825361201361596
5518,0,7,1012583.0,0.9999392042744639,0.996372786528309,0.377146321043645
5519,0,7,1018132.5,0.9999335993722998,0.9960371569309786,0.4027151281312877
5520,4,7,1026776.0,0.9999347410559244,0.9964470832541117,0.3821038200252892
5521,4,7,1027615.5,0.9999339558815744,0.9964667408136892,0.42020332095360513
5522,4,7,1031005.5,0.9999383550237905,0.9965273551448608,0.35549648758000096
5523,4,7,1028115.5,0.9999322398283995,0.996216320864805,0.4046684684368327
5524,4,7,1027793.0,0.9999346762367984,0.9966159603367488,0.40730444360891427
5525,4,7,1029880.0,0.9999362217991283,0.9967415090830611,0.3919635136714826
5526,4,7,1024887.0,0.9999333427174123,0.9965010328206149,0.37146749956674463
5527,4,7,1026875.0,0.9999348522386157,0.9963314372502128,0.3913206007219998
5528,4,7,1025862.5,0.9999323355647932,0.9961511823738401,0.3861606696981461
5529,4,7,1040847.5,0.9999348693115335,0.9969839467003757,0.3846350737476388
5530,4,7,1051965.5,0.9999298678092751,0.9967171022904566,0.35333322685649354
5531,4,7,1055325.0,0.9999332523933125,0.9969438195698829,0.3704986263775616
5532,4,7,1059660.5,0.9999315513978698,0.9969636009307955,0.3865425749288449
5533,4,7,1060226.5,0.9999270855662779,0.9968088716788498,0.40343586241033047
5534,4,7,1061103.5,0.999930470027706,0.9971571092103236,0.37481670211482915
5535,4,7,1063646.0,0.9999330149972163,0.9969612674970523,0.3611681752462282
